gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
4.073330865251725186e+01,-7.405625379922179263e+01,-1.181874270436465535e+00,1.229407338939921684e-01,1.531157765679694860e-01,4.120578893615678417e-02
4.073331483275649134e+01,-7.405625378999350517e+01,7.396704403099508829e-01,8.095198738514455816e-03,-5.559391660751499681e-02,-2.485987500344638210e-02
4.073331678097954978e+01,-7.405627048704103288e+01,-1.645738248856544461e-01,-8.100348241016524717e-03,-6.920664798942137430e-02,-9.980365040023259082e-02
4.073332158421477800e+01,-7.405628113489686370e+01,2.197543907670036933e+00,4.354478988888088598e-02,-4.034267053094280076e-02,-2.146606569899247793e-02
4.073331635160254649e+01,-7.405625363897911484e+01,-1.725151895766450227e+00,1.591630473589834838e-02,5.459976298524843452e-02,-5.557853255277243540e-03
4.073332343678087852e+01,-7.405626149292756111e+01,1.806857737910898321e+00,2.211100377519149840e-02,-7.398950709063883968e-02,1.850026455421774699e-02
4.073331327436695659e+01,-7.405627002087427968e+01,-2.107384676791440370e+00,1.655867632370959866e-02,2.425325712479867168e-02,-2.305253478189284166e-02
4.073333310929086082e+01,-7.405626477511694361e+01,-2.488005902945875369e-01,-4.105421094479327904e-02,-1.191878801251969461e-01,3.507668044554204754e-03
4.073331260035146784e+01,-7.405625759786671836e+01,-1.392292983542410711e+00,-5.129442668029636498e-03,4.189629591864130198e-02,-1.388488621196276585e-02
4.073332313030979179e+01,-7.405623987727413748e+01,-3.330127731638599653e-01,-6.398277103590682864e-03,-4.989204052045547247e-04,1.671897131166995331e-03
4.073331323425663442e+01,-7.405625471467116938e+01,-6.186563544815462112e-01,3.956480009918148660e-02,-9.422998705901480809e-02,-8.684802928530496735e-02
4.073330707620591085e+01,-7.405624157227229887e+01,3.444715985419513071e-01,8.342701610782704905e-03,2.765112439538271183e-02,-1.560491291998137610e-02
4.073332481748144573e+01,-7.405625822383441914e+01,-2.279389265502473449e+00,-5.135547576569328421e-02,4.908958581388375708e-02,-5.339206762625911540e-02
4.073330601827915132e+01,-7.405625009269110137e+01,1.197494035157794512e+00,2.575652224291447023e-02,2.693652851650669196e-03,3.611092461116570482e-03
4.073331610911422018e+01,-7.405625121517562093e+01,8.344867404712194014e-01,-9.064563184699997792e-03,-9.290211405073614537e-02,2.526148159121298364e-02
4.073332757652673308e+01,-7.405625787552645534e+01,2.024251701032907746e+00,2.888200659681118554e-02,4.428569547794398292e-02,-4.491187075263902012e-02
4.073333035408571590e+01,-7.405625594942928558e+01,-8.641816980719259078e-01,-3.308435203956364840e-02,-9.318933269359806759e-03,2.544359315084892062e-02
4.073331036058724663e+01,-7.405626520335948726e+01,1.268003267597363815e+00,8.348094365723862653e-02,-6.047965954157644847e-02,-5.035425460459289071e-02
4.073333317461850100e+01,-7.405626090421557706e+01,1.045454974055143760e+00,1.432948730178009930e-03,6.375034927343517857e-03,5.363853867286916266e-02
4.073331191209645397e+01,-7.405626203907655736e+01,-7.113748821016419033e-01,-8.337758169870902736e-02,9.040470835905399516e-02,2.155494146952738332e-02
4.073332234851780953e+01,-7.405626975769185094e+01,-1.381244943343676423e+00,2.689392939478445210e-02,4.596309278771520956e-02,2.043079201691498301e-02
4.073331223218355035e+01,-7.405626966967398062e+01,-1.418062472313478262e+00,2.546732202242811549e-02,-2.782049323622346783e-03,-5.599035661644572587e-02
4.073332688847978034e+01,-7.405622732062869318e+01,1.851042749611520266e+00,-5.488507485551522014e-02,3.287730212229744708e-02,-1.203189514966244988e-02
4.073334072067050471e+01,-7.405626223864001645e+01,-1.754283701607035173e+00,-5.242116363812907021e-02,-8.613648847976697331e-03,-1.206126310909784449e-02
4.073329688681491945e+01,-7.405627616207685548e+01,1.004929865872890238e+00,1.016970268877414596e-01,2.129207361758428396e-02,2.366291534888537162e-02
4.073332516901712808e+01,-7.405625607900196883e+01,-1.000784136508549166e-01,2.840030020612237596e-02,5.163787785533874471e-03,6.572853795549868795e-05
4.073332130388624250e+01,-7.405626131201655937e+01,2.388091538109583301e+00,9.129229181914733093e-02,-1.042709795332654940e-02,6.355630345782115054e-02
4.073333740178306783e+01,-7.405626355564547225e+01,2.289174832873176399e-02,-4.528941056997731057e-02,1.264966899414562800e-02,6.425272172878056243e-02
4.073332240054639897e+01,-7.405624372471909567e+01,-6.456124267553257079e-01,-3.882220729025911282e-02,1.559572639771413249e-01,3.878394587559520074e-02
