mag_x (uT),mag_y (uT),mag_z (uT)
1.635470284217150549e+01,1.250571956500453652e+01,4.698425860843822477e+01
1.646830985431238759e+01,1.241173383742795266e+01,4.683128794135684103e+01
1.673899549699275369e+01,1.278348810696019200e+01,4.713118788524076308e+01
1.650530487041191918e+01,1.241818319761258316e+01,4.685067804378886791e+01
1.660420648717034808e+01,1.264041664572018142e+01,4.680797321378731368e+01
1.676643276750940714e+01,1.243183868169725415e+01,4.671117866588421919e+01
1.646601797095297215e+01,1.265309795695993955e+01,4.724421729359522715e+01
1.667586176575014534e+01,1.245489705847674955e+01,4.723920838977782921e+01
1.634777930628019504e+01,1.261805427044297900e+01,4.718282798662323785e+01
1.634314393822572598e+01,1.233367701009189865e+01,4.704632058633202263e+01
1.652993917732125340e+01,1.250915331297791155e+01,4.711419906325857454e+01
1.659755044638119514e+01,1.226783137042816563e+01,4.709117890064374734e+01
1.684447102845686572e+01,1.270262775447116965e+01,4.708699682571444356e+01
1.653602664615181084e+01,1.255916673673926098e+01,4.733192951291542272e+01
1.611281768921401891e+01,1.212984642691862369e+01,4.703058982059104665e+01
1.659066564268605859e+01,1.260324789119368560e+01,4.720352807725458177e+01
1.670101775186901349e+01,1.224306653261369071e+01,4.709297747482809626e+01
1.659163026792869289e+01,1.275889550050470334e+01,4.715462855882661586e+01
1.654771045971243026e+01,1.267685135658013706e+01,4.713861094984422806e+01
1.645973537219379779e+01,1.243301645693444257e+01,4.690932590380393208e+01
1.662476308404429659e+01,1.258370359017311557e+01,4.634105725690977806e+01
1.623443857084905417e+01,1.247611600291980594e+01,4.690591940200523879e+01
1.663098067360962418e+01,1.277558385498162252e+01,4.672134911675201607e+01
1.633781402140890293e+01,1.277685632961205187e+01,4.703643405328926974e+01
1.675881336016244205e+01,1.269952559671088821e+01,4.691697164276063603e+01
1.679706823362483092e+01,1.268068512544724769e+01,4.645046528857113088e+01
1.682785444065996572e+01,1.295142354292466891e+01,4.699275325112981960e+01
1.643936206820255563e+01,1.237043067472489533e+01,4.686177699661380558e+01
1.686239908154063727e+01,1.267086722166732571e+01,4.694206799550821785e+01
1.662749653605369815e+01,1.284119808465143109e+01,4.700910254019004952e+01
1.677007555645852221e+01,1.247794009861387998e+01,4.710675214536574629e+01
1.642398554408132583e+01,1.253611905448612518e+01,4.708202551389167212e+01
1.689781532778827966e+01,1.249352300477202071e+01,4.684846712306057270e+01
1.659525421622817731e+01,1.295910010756295350e+01,4.669828806226269791e+01
1.621971633589439321e+01,1.218664711895386787e+01,4.695193794839437373e+01
1.658193925725685247e+01,1.261065179270864078e+01,4.710942808650978719e+01
1.665654103174939493e+01,1.266973223565311102e+01,4.695716382314112991e+01
1.613268264884125358e+01,1.262090230917535472e+01,4.708038677168512720e+01
1.665436073154465646e+01,1.261181797923690340e+01,4.711859655499416988e+01
1.677290017441785608e+01,1.229131944829321377e+01,4.712376178435329166e+01
1.656733000231896469e+01,1.290415025687350514e+01,4.707908037480193997e+01
1.616413124013448055e+01,1.242218759928386795e+01,4.708478459467716704e+01
1.672478816260695211e+01,1.240920385188125863e+01,4.691673395749402431e+01
1.649060442174591401e+01,1.228973333412337077e+01,4.690425382320804459e+01
1.642243611793296765e+01,1.256655304053234801e+01,4.715194294054240487e+01
1.607827956019180249e+01,1.271814122305863926e+01,4.691054398555596805e+01
1.668678441025474157e+01,1.254952930063583771e+01,4.684456967739755129e+01
1.622560291641205055e+01,1.282405027851541846e+01,4.675838933303168687e+01
1.663913746162818441e+01,1.257400577579727319e+01,4.691449168477223708e+01
1.616105019399772047e+01,1.241889265801508380e+01,4.681188794035942635e+01
1.624403755985938247e+01,1.243960881739900159e+01,4.705044239204332968e+01
1.653476899653200505e+01,1.259535948858720644e+01,4.674757846981653131e+01
1.662596536468184638e+01,1.267921225036676347e+01,4.714237986595336594e+01
1.661753300100132336e+01,1.273118211719352999e+01,4.703965539342213020e+01
1.641578995314377920e+01,1.215517666550856113e+01,4.705715128998271268e+01
1.659697335535387808e+01,1.274483451037911053e+01,4.688166990348038610e+01
1.671487822118575295e+01,1.263641284517148655e+01,4.706067528854309501e+01
1.661171100341892881e+01,1.253367009279121902e+01,4.683783481561753348e+01
1.639122543341750671e+01,1.308115550272245819e+01,4.735188698879452573e+01
1.604102825098734542e+01,1.237520548183002411e+01,4.710838304195750936e+01
1.629857792012912299e+01,1.268013140827851437e+01,4.719036600195691022e+01
1.644137253035014012e+01,1.267675390774021871e+01,4.702712393685324344e+01
1.648797036797968119e+01,1.244206010255838635e+01,4.681513302285789280e+01
1.680295916377537324e+01,1.232617806366026336e+01,4.701774950572973921e+01
1.650122606675025949e+01,1.249728489025981126e+01,4.710358032017168739e+01
1.653931912193871767e+01,1.263637818024113812e+01,4.682041410820279026e+01
1.631828988693278149e+01,1.241852009608682472e+01,4.716783798159016783e+01
1.639531747831260944e+01,1.247982228598089982e+01,4.723790493283716785e+01
1.664338227238139467e+01,1.284436512457639878e+01,4.710267838162054232e+01
1.621197182198323006e+01,1.260153093427904913e+01,4.689579088370853555e+01
1.673727961996104696e+01,1.267648396189607851e+01,4.701228789277929820e+01
1.635433173725574107e+01,1.273428410551118439e+01,4.651599595160607237e+01
1.628705256330243856e+01,1.228840879104274642e+01,4.687214640628224771e+01
1.658751053496911965e+01,1.277351478470469459e+01,4.698986403197161366e+01
1.675047898667552104e+01,1.263026357945167888e+01,4.676504770261498578e+01
1.659652800411592111e+01,1.252956015610699403e+01,4.697416996754363794e+01
1.636366552891997017e+01,1.268632637138028763e+01,4.657231847063287944e+01
1.661087029174853669e+01,1.249379492848861339e+01,4.719968901238076597e+01
1.648773178556657015e+01,1.282609200864575349e+01,4.703012358499247370e+01
