gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-7.252516426977430319e-02,2.721293057253460282e-02,3.401659645752157235e-02
1.286362517625063914e-02,1.470033671401407838e-02,-2.258566350668811049e-02
-2.890940946348709989e-02,7.053889017724445862e-03,2.655222727092254251e-02
-9.669193434266438320e-03,3.953204686798951484e-02,1.904265299927088498e-02
-4.958175152856925116e-02,3.209301410718995180e-03,-9.728544378837228335e-02
3.206508487787790296e-02,-8.428540922433622531e-03,7.534616353492516998e-04
2.617092808042004171e-02,-1.729287336747459616e-02,2.398986284346175946e-02
-3.452805966414070754e-02,2.617809709905394473e-03,4.650318938072242787e-04
-9.083778345880857627e-03,4.646278769802312386e-02,2.181848039708056755e-02
-6.711048419056733771e-02,-7.164889818201614774e-03,-5.906976148486860201e-02
-1.247518844163953040e-02,1.701130994402118637e-02,-5.744252783273631757e-03
-2.167877530296391346e-03,1.552063504989576598e-02,5.327859246933880355e-02
9.435084284922673828e-03,4.923022875567417689e-02,1.559384001719855799e-02
2.471641950919689981e-02,1.713351329187445468e-02,-5.293603887332018476e-02
-1.915600618722616702e-03,-1.233282942100885843e-03,-5.366081752199275932e-03
5.934208274211925579e-03,6.969648613426017610e-03,3.630108947164249755e-02
2.770139908163261888e-02,-2.834079486798122410e-03,-5.264819840341048059e-03
-3.402849088886586437e-02,-1.007024632846091894e-01,-4.028039047349512430e-02
1.312832903904085323e-02,-1.958188888858680005e-02,-5.079614802872563228e-02
5.613396740011133978e-02,-2.188591595440110907e-02,1.839657461200515376e-02
4.444203415471923574e-02,-5.409223001198128905e-02,3.195711282695335581e-02
1.909944500371779305e-02,2.736810437111466057e-02,-2.254725604858304894e-02
-1.876831583649185564e-02,-4.902847219447074856e-02,-3.151218465585242656e-02
-1.229093381278574017e-02,1.050852761661154669e-02,5.633700073509174608e-03
-1.917244962846579096e-02,3.361428041337002903e-02,3.058431193231517936e-02
4.019265455491951439e-02,6.543574918594227685e-02,1.695350907340521449e-02
-2.268031781534450564e-02,1.601772903537604376e-02,1.414711450256750380e-02
-1.253907719316148944e-02,2.376986257219555060e-02,-3.528893421592153856e-02
5.874591178905613081e-02,3.375306236987094671e-02,-1.174015093037353470e-02
-9.644443525476626561e-03,-1.826872837774131189e-02,9.993237149723332990e-03
3.924761952555894107e-02,9.277841779655138232e-02,1.888788508142268119e-02
-1.848884868382673005e-02,-3.058278392237483503e-02,-2.554777556244590062e-02
-5.508041815433797894e-02,-2.037020118343702956e-03,2.494741175724696225e-02
-5.225090055582475024e-02,-3.843415779534505722e-02,2.194440203534268885e-02
2.824650220189394920e-02,-7.878259057652232250e-03,2.397716585772303316e-02
4.004917158117100168e-02,-3.694535783123466949e-02,-4.522568063214250922e-02
1.108827708690158544e-02,3.959976638350921202e-02,2.599186101190922860e-02
-5.780863936103112360e-02,-3.940139458643089621e-02,8.073394417551924690e-03
-3.888793309954053506e-02,-4.834856903263467826e-04,4.836119187517880225e-02
4.197902383924373426e-02,-1.393872387564458872e-04,4.951788531927620723e-02
3.173471241496411688e-02,-3.715378613437811395e-02,-3.658239259162244378e-02
-7.529964540763330050e-02,3.564508899281784021e-02,6.522357859309776962e-02
1.385998278139441778e-02,5.028707974627179972e-02,-4.002096509877446640e-02
-1.819722129888072873e-02,-2.473374309476413999e-02,4.991459075800982331e-02
4.002155487776185017e-02,3.181439101687296572e-02,4.649740552095303625e-02
-5.971996435064208519e-02,7.482138657415260408e-03,2.693118051703680474e-02
-2.528645215322796597e-02,-5.313757797660916687e-02,-7.732214581157981215e-02
-2.335810738518033156e-02,1.101378043485238684e-01,2.110081070974344220e-02
-9.231140989717448453e-02,2.253014810961984776e-02,3.414662603595095686e-02
5.493377692841065058e-02,-1.783267076383248523e-02,2.017837023920516712e-02
-4.834981369818160124e-02,-2.917611805840684622e-03,-3.944514425093457316e-02
3.258487737373313292e-02,5.381389092756690834e-02,8.267206672673870632e-03
-1.545063650740320302e-02,2.145230739106460463e-02,-2.346808538185369067e-02
-3.028745598412549075e-02,-9.493438416142598035e-02,2.684692341636659568e-02
6.144027752473221748e-02,3.019338011095504953e-02,-6.727448200217932273e-02
1.968684354637439266e-02,6.796534430743422610e-03,-4.725440366376487873e-04
6.963114474779444341e-02,6.615263915279329110e-02,4.875831179951606309e-02
-9.081394064698641855e-03,-8.139756774124672078e-02,-6.924054706059740161e-02
-9.115971181791788711e-03,6.873432394698628101e-02,-1.217346889515966146e-02
2.801727126408146140e-02,3.362094974774897799e-02,3.398354305520519258e-02
6.264811843354468890e-02,3.370734061266351250e-02,-3.250831110132001989e-02
-5.152298408535644497e-02,-1.135910008726477571e-02,-4.245823771791716605e-02
-1.124441988889229166e-02,-2.227554694170911023e-02,2.018148657681992017e-02
-1.762095364956308557e-02,5.335485475423842883e-02,3.622165328567176351e-02
6.989765739719491777e-02,4.555539249673350860e-02,-3.460185687143714495e-02
-6.954373537466501665e-02,3.199331929187100576e-02,3.623761668565560201e-02
3.522358942917608315e-02,-5.743598321567477266e-02,5.650864716910533603e-02
-4.433200843018567788e-02,-3.024046911656228659e-02,3.629944920241714307e-02
-3.896930976077214726e-02,4.520479802707563603e-03,2.350725518246533571e-02
-3.741320047621732314e-02,5.162208281604629273e-02,-7.184181987476213893e-02
-5.421491554920983280e-02,2.578560590016696838e-02,-6.240603137213680818e-02
3.931200723173306627e-02,1.187439238111513522e-02,1.623268852085371639e-02
6.444222033651214598e-02,-2.275338251636065817e-02,-1.584144338650509895e-02
-6.436562351881602861e-02,7.096238207307968560e-02,4.764094431028383786e-02
2.609731259631335384e-02,-1.476656274601819601e-03,1.060212310060151819e-02
-8.068322684483023033e-02,2.751156462722418108e-02,-3.522444185574143821e-02
-7.573179609028053705e-02,-2.224944788209012869e-02,-3.276679275548943782e-02
2.239031840467863022e-02,-1.850928952514833276e-02,-2.669333553649642227e-02
3.244886557302160968e-02,5.084742725802873786e-02,1.266223565556631389e-03
1.415532571086724339e-02,-6.655646018481924109e-02,-5.290287791030050951e-02
-2.003051215630443846e-02,-7.782836663260662979e-03,3.645395974371692244e-02
-1.997832033839117699e-02,1.135141967134608784e-02,5.466923375357989751e-02
7.845899135780719236e-02,-3.422478103173091230e-02,9.610030187086447684e-02
1.796777375519312617e-02,6.597426375899186068e-02,-1.630771350836536168e-02
3.301284217679927718e-02,5.100818593816843632e-02,-4.350433088479520316e-02
-3.292019555131020514e-02,3.849729864908339044e-02,-4.799427163116817829e-02
3.418499551643055384e-02,1.999040912597670541e-02,9.808619506939534813e-03
4.187830117460514950e-02,1.432094274678958647e-02,4.735359878292814961e-02
-1.819720914822621147e-02,-4.717387840033542001e-02,7.515277484888649440e-02
-6.029902777717233153e-02,-7.398511487809152076e-02,6.782466920587505547e-03
3.498572408066859957e-02,5.433949922613077327e-02,1.081636632858389707e-02
