accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
8.344591293579155938e-03,2.871353745997785346e-03,-9.806481805584320810e+00
-2.278000439497636224e-05,3.874063295201915936e-04,-9.797435615658821817e+00
4.824809641822643859e-03,1.751534114746421686e-03,-9.805314511730360394e+00
-2.070412969900433178e-03,1.508421252382489280e-03,-9.801628199450668433e+00
-6.347420792553449403e-03,-6.862502924314752050e-04,-9.789097017894762942e+00
-1.824070325491775361e-03,-1.276448149138109320e-03,-9.783796750776975415e+00
-1.687373863521064374e-03,7.719197519981451684e-03,-9.801222854702015042e+00
-4.133541994707601135e-03,-2.236427527113318305e-03,-9.789120816834371297e+00
-1.144241643776921537e-02,-1.433488142888064004e-02,-9.808046007629750207e+00
6.770889860115217318e-03,-4.451781772729435701e-04,-9.801613830335364597e+00
2.749014391812390837e-03,1.801608061999726649e-03,-9.811769982514599420e+00
2.391436424498331274e-03,4.223152803556428844e-03,-9.785368696624827223e+00
-4.163557513750867391e-03,4.469488060276614080e-04,-9.806118421561215825e+00
-5.624310380389380571e-04,8.025898637216890424e-03,-9.793237213245435058e+00
-3.461789918637624142e-03,-3.496006139775719064e-03,-9.799102057502576457e+00
-4.722043283584702149e-03,-4.302189970188628754e-04,-9.808736581637543139e+00
-8.148294708361092376e-03,7.058943849204051078e-04,-9.792913587739548120e+00
-3.273047624854228538e-03,2.558464388826945128e-04,-9.787082383721099177e+00
4.736229475480553154e-03,5.579773760831797225e-05,-9.794848884741655937e+00
-4.246667528537582600e-04,-1.861091110667578881e-03,-9.805869726873520875e+00
1.656799333486038295e-03,8.984618466496421124e-03,-9.791200656021912252e+00
2.479388263240258163e-04,2.077019804721755205e-03,-9.807771020899505032e+00
-9.157478226338662585e-04,1.874377757939851927e-03,-9.807835858824109465e+00
-1.196671912362372780e-03,-6.204269119775021601e-03,-9.796016732656415371e+00
4.731368682084038241e-03,8.243746720761278499e-03,-9.809241501537339758e+00
-7.870323650871540941e-03,7.039526664196663758e-03,-9.790874907485111578e+00
-4.828242511786333749e-03,-6.726062631547377428e-03,-9.817599981659524744e+00
1.279072393598550909e-03,1.208360755341899174e-03,-9.789238256274122918e+00
-3.682649864781877480e-04,2.148016532963470220e-03,-9.807901426070623430e+00
-3.373651575805246446e-04,-5.694107334405022237e-03,-9.808943685980967331e+00
